tmax,tmin,rain,tmax_tomorrow
60,35,0,52
52,39,0,52
52,35,0,53
53,36,0,52
52,35,0,50
50,38,0,52
52,43,0,56
56,49,0.24,54
54,50,0.4,57
57,50,0,57
57,50,0.31,58
58,52,0.05,59
59,54,0.25,58
58,53,1.94,56
56,51,0.63,61
61,56,0.62,59
59,54,0,58
58,53,0,60
60,53,0.14,60
60,53,1.21,61
61,58,1.34,62
62,58,0.01,62
62,55,0.24,58
58,50,0,59
59,45,0,60
60,48,0.01,58
58,47,0.37,57
57,39,0,57
57,41,0.01,57
57,46,0,55
55,43,0.01,59
59,48,0.01,64
64,44,0,57
57,44,0,60
60,48,0,57
57,50,0,60
60,51,0,66
66,50,0,70
70,50,0,63
63,50,0.1,65
65,50,0,63
63,54,0,59
59,55,0.17,58
58,52,0.6,58
58,50,0,59
59,47,0,61
61,50,0.3,57
57,47,0.02,63
63,43,0,64
64,46,0,67
67,45,0,62
62,43,0,60
60,43,0,61
61,44,0,67
67,50,0,66
66,45,0,66
66,47,0,63
63,45,0.12,62
62,55,0.37,56
56,48,0.11,56
56,43,0,57
57,48,0,52
52,44,0.95,57
57,42,0,60
60,44,0,60
60,48,0.05,59
59,49,0,57
57,47,0.09,57
57,45,0,59
59,50,0,62
62,52,0,65
65,51,0,64
64,53,0.04,65
65,48,0,65
65,56,0,69
69,50,0,65
65,51,0,68
68,48,0,62
62,46,0,62
62,49,0,64
64,49,0,67
67,47,0,71
71,50,0,73
73,51,0,74
74,50,0,75
75,56,0,66
66,49,0,69
69,50,0,68
68,49,0,71
71,51,0,67
67,50,0,67
67,47,0,74
74,49,0,72
72,46,0,64
64,49,0,62
62,49,0,59
59,45,0,62
62,49,0,60
60,50,0,62
62,52,0,64
64,43,0,64
64,43,0,54
54,48,0,58
58,49,0,56
56,44,0,60
60,48,0,61
61,47,0,59
59,48,0,60
60,50,0,58
58,43,0,57
57,42,0,57
57,48,0,59
59,48,0,61
61,47,0,59
59,51,0,55
55,47,0.02,55
55,45,0,61
61,42,0,64
64,47,0,67
67,48,0,75
75,51,0,81
81,52,0,74
74,51,0,59
59,49,0,57
57,51,0,58
58,49,0,60
60,49,0,62
62,54,0,61
61,52,0,59
59,50,0,60
60,48,0,62
62,50,0,67
67,57,0,77
77,54,0,87
87,59,0,86
86,60,0,65
65,53,0,57
57,50,0,59
59,51,0,63
63,51,0,67
67,52,0,70
70,50,0,79
79,53,0,70
70,52,0,70
70,53,0,63
63,56,0,59
59,53,0,63
63,52,0,68
68,52,0,79
79,54,0,82
82,58,0,72
72,56,0,70
70,54,0,64
64,53,0,62
62,53,0,67
67,55,0,63
63,54,0,62
62,52,0,62
62,54,0.67,64
64,56,0.06,66
